n,clip_id,provider,reference,hypothesis
19,58fff51b-267b-de9a-9d5b-0a14173a80f8,deepgram-flux,Mexican food,Mexican food
20,356d3518-21f9-a281-9ed9-fa950f81d8fc,cartesia-ink2,private league and then they played for their high school,"uh, private league and then they played for their high school."
21,356d3518-21f9-a281-9ed9-fa950f81d8fc,deepgram-flux,private league and then they played for their high school,"private league, and then they played for their high school."
22,trailsil-87b044ea-0a6d-e2ec-49d5-5b8462ad6c40,deepgram-nova3,My smart thermostat seems to have disconnected from the Wi-Fi network again and I've already tried rebooting both the thermostat and the router twice but the little light just keeps blinking red so,My smart thermostat seems to have disconnected from the Wi Fi network again. And I've already tried rebooting both the thermostat and the router twice. But the little light just keeps blinking red. So
23,62181c68-8a2c-6969-f4cd-633ea1bf9df9,xai-grok-stt,The weekly allowance is ten dollars.,The weekly allowance is ten dollars.
24,snr-05-cb019196-5aa2-654b-1134-170c40b56bb6,soniox-rt-v5,I bought a smart watch a few months ago primarily to track my sleep patterns but the data it's providing seems highly inaccurate when compared to how I actually feel and,"I bought a smartwatch a few months ago primarily to track my sleep patterns, but the data it's providing seems highly inaccurate when compared to how I actually ""feel"" and—"
25,trailsil-90827444-599c-0a4b-d1b6-0ca6590f8e0d,speechmatics-standard,I need to make a reservation for a party of six at a restaurant that has outdoor seating for this Friday night and if and it's important that they have good vegetarian options.,"I need to make a reservation for a party of six at a restaurant that has hazardous seating for this Friday night, and he. And it's important that they have good vegetarian options."
26,62181c68-8a2c-6969-f4cd-633ea1bf9df9,cartesia-ink2,The weekly allowance is ten dollars.,The weekly allowance is 10 dollars.
27,ce8aae13-d3b1-7bfd-17e2-8804bbd7f34e,cartesia-ink2,I don't know that that would be you know un,"I don't know that that would be, you know, and"
28,snr-05-7a836f75-b381-71e0-572a-0452aabf4560,speechmatics-enhanced,I need to book a round trip flight for two adults from Chicago to Miami leaving on the 15th of next month and returning on the 22nd but I'm looking for,"I need to book a round trip flight for two adults from Chicago to Miami, leaving on the 15th of next month and returning on the 22nd. But I'm looking for."
29,trailsil-45908b00-1728-3f5b-9081-1ef9609cc976,deepgram-nova3,familiar with where you I I also have been through the part of the country where you live,With where you I I I also have been through the part of the country where you live
30,sim-insurance-claim-p02-t04-damage_estimate,soniox-rt-v5,"Uh, yeah, I'd say it's going to be at least one hundred twenty five thousand dollars. The roof damage is extensive, and then there's all the water inside.","Uh, yeah, I'd say it's going to be at least 125,000 dollars. The roof damage is extensive, and then there's all the water inside."
31,trailsil-7b1c12ab-fa3e-739e-7792-6766e803968a,soniox-rt-v5,How do I take a screenshot on this new tablet device and where are the images automatically saved after I have captured the screen content I wanted to keep?,How do I take a screenshot on this new tablet device and where are the images automatically saved after I have captured the screen content I wanted to keep?
32,830ff8f9-96f4-ee1f-f640-d0b87f18e66c,apple-speech-stt,My son accidentally spilled juice on his laptop keyboard and while most of the keys are working a few of them are very sticky and unresponsive now so I,My son accidentally spilled juice on his laptop keyboard and why most of the keys are working a few of them are very sticky and unresponsive now so I
33,1f557247-3d6e-9deb-31fc-ded87377d33b,deepgram-flux,I just adopted a puppy from a local rescue and I need some recommendations for a good veterinarian in my area who is accepting new patients and has good reviews.,"I just adopted a puppy from a local rescue, and I need some recommendations for a good veterinarian in my area who is accepting new patients and has good reviews."
34,snr+00-4040841f-bce4-2cac-a03c-e496e95f8c58,assemblyai-universal35pro,I believe there's a billing error on my last utility statement as the meter reading listed seems significantly higher than my average monthly usage for this time of the year and,I believe there's a billing error on my last utility statement. the middle. reading list seems significantly higher than my average monthly usage for this time of the year. And
35,trailsil-759e278d-2d5f-dd75-9738-ec0555bbcfb1,elevenlabs-scribe2,The garbage collection for our street was missed this week and all the neighbors still have their bins out on the curb so we were all trying to figure out if,"The garbage collection for our street was missed this week, and all the neighbors still have their bins out on the curb, so we were all trying to figure out if..."
36,snr+20-ee5c35d5-ae36-1f17-1486-333e90398997,assemblyai-universal35pro,Please provide a detailed historical account of the events leading up to the construction of the Panama Canal including the political engineering and public health challenges that were overcome,"Please provide a detailed historical account of the events leading up to the construction of the Panama Canal, including the political, engineering, and public health challenges that were overcome."
37,sim-job-application-p02-t07-team_size,google-chirp3,"Hmm, let me think. The largest team... I believe there were about thirty people on that one. It was a really big project, very cross-functional.","Let me think the largest team. I believe there were about 30 people on that one. It was a really big project, very cross-functional."
38,3f5dbd72-7127-c4c4-a4ec-8c4278fd8e4b,deepgram-flux,"uh, as long as you don't wash that layer of",as long as you don't wash that layer of
39,b7b879c4-6579-ff70-0e01-2bb8115effa9,deepgram-flux,"I bought a new video game yesterday, but when I tried to install it on my console, it gets to about 50% complete and then gives me a corrupted data error every single time and","I bought a new video game yesterday but when I tried to install it on my console it gets to about fifty percent complete and then gives me a corrupted data error every single time, and"
40,ce8aae13-d3b1-7bfd-17e2-8804bbd7f34e,apple-speech-stt,I don't know that that would be you know un,I don't know what that would be you know
41,093e1e51-13b7-7d02-1e0d-4dc3f82b2352,xai-grok-stt,"I'm looking for a detailed guide on how to safely and effectively remove old wallpaper from a wall, including what tools are needed and how to prepare the surface for painting afterward","I'm looking for a detailed guide on how to safely and effectively remove old wood from a wall, including what tools are needed and how to prepare the surface for painting afterward. I'm looking for a detailed guide on how to safely and effectively remove old wallpaper from a wall, including what tools are needed and how to prepare the surface for painting afterward."
42,trailsil-4946c229-7806-af10-839c-bb40cf35896d,soniox-rt-v5,I'm trying to learn how to play the guitar and I was wondering if you could suggest some good beginner level tutorials or apps because,"I'm trying to learn how to play the guitar, and I was wondering if you could suggest some good beginner-level tutorials or apps, because—"
43,lowsnr-7abb01d2-9c19-2665-c6d4-e8a6af0482ad,soniox-rt-v5,The carbon monoxide detector in my hallway started beeping last night for no apparent reason and I've already replaced the batteries but the beeping just won't stop which is making me,"We come upon another detector in my home, which started peaking up in a small apartment building, and I've already replaced the battery, but it didn't just install, which is making me—"
44,snr+05-45908b00-1728-3f5b-9081-1ef9609cc976,assemblyai-universal35pro,familiar with where you I I also have been through the part of the country where you live,"with where you— I, I also have been through the part of the country where you live."
45,lowsnr-ba91eab8-3074-c881-a627-2cf56038d65e,speechmatics-enhanced,I signed up for the advanced pottery class that was supposed to start this evening but the community center is completely dark and the doors are locked so I was wondering if,"I stand up for the advanced pottery class that was supposed to start this evening, but the community center is completely dark and the door unlocked, so I was wondering if."
46,trailsil-7f3ff079-bd79-dc72-0dbc-6a9b55afa87b,elevenlabs-scribe2,There appears to be a mistake on my medical bill as I have been charged for a procedure that I did not receive during my last visit to the clinic and,"There appears to be a mistake on my medical bill, as I have, as I have been charged for a procedure that I did not receive during my last visit to the clinic, and..."
47,trailsil-14faa09c-975b-268f-1b3e-192cf1d74c13,speechmatics-enhanced,Announce that dinner is ready,Announce that dinner is ready.
48,d22bc734-8400-a460-6bd3-00a5660b2515,apple-speech-stt,"My new wireless mouse is not properly pairing with my laptop's Bluetooth connection, even though it is fully charged and in its discovery mode.",My new wireless mouse is not properly pairing with my laptop's Bluetooth connection even though it is fully charged and it's discovery mode
49,snr+00-25a14bf3-adef-70a1-8a00-01708eabe4e0,assemblyai-universal35pro,I found a recipe for sourdough bread that requires a starter and I've been feeding mine for a week now but I'm not sure if it's active enough to use because,"I found a recipe for sourdough bread that requires a starter, and I've been feeding mine for a week now, but I'm not sure if it's active enough to use because—"
50,545d2919-6153-7187-fc95-48ff62a7276c,xai-grok-stt,"I'd like to book a round trip flight from New York to London for two adults, leaving on May 15th and returning May 29th, preferably a nonstop flight.","I'd like to book a round trip flight from New York to London for two adults. Leaving on may 15th and returning may 29th. Preferably a nonstop flight. I'd like to book a round trip flight from New York to London for two adults, leaving on may 15th and returning may 29th, preferably a nonstop flight."
51,snr+20-8b8005cb-5012-fe0a-02af-3b8c7598f86a,deepgram-nova3,What was the Boston Tea Party?,What was the Boston Tea Party?
52,tel8k-2427d82b-728c-8ba3-a9c3-1c0d83c09b02,speechmatics-enhanced,The recipe for this sourdough starter says that I need to feed it every 12 hours for three days but I'm not seeing any bubbles or signs of activity yet so,"The recipe for this sourdough starter says that I need to feed it every 12 hours for three days, but I'm not seeing any bubbles or signs of activity yet, so."
53,2d3bc042-48a3-7076-5590-8fb1cf313403,deepgram-flux,I need to find a tutorial that explains how to use advanced layering and masking features in this graphic design program to combine two separate images into a single composition.,I need to find a tutorial that explains how to use advanced layering and masking features of this graphic design program to combine two separate images into a single composition.
54,snr+00-c7037748-0d90-c7bc-a6af-ac4975c029f5,assemblyai-universal35pro,I was supposed to receive a confirmation code via text message to reset my password for an online account but it has been over fifteen minutes and nothing has come through yet so,"I was supposed to receive a confirmation code via text message to reset my password for an online account, but it has been over 15 minutes and nothing has come through yet, so"
55,93784921-0769-176f-9403-6866c4a3199e,apple-speech-stt,presentation and I didn't unders I didn't know that they,Presentation and I didn't I didn't know that they
56,snr+00-60bf7039-1e6a-787c-a43c-2fe4e5003695,assemblyai-universal35pro,Could you explain the return policy for items that were purchased on sale because I bought a jacket last week that doesn't fit quite right and I have,"Could you explain the return policy for items that were purchased on sale? Because I bought a jacket last week that doesn't fit quite right, and I have"
57,sim-insurance-claim-p04-t00-policyholder,soniox-rt-v5,My name is Brandon Calloway.,My name is Brandon Calloway.
58,trailsil-4040841f-bce4-2cac-a03c-e496e95f8c58,soniox-rt-v5,I believe there's a billing error on my last utility statement as the meter reading listed seems significantly higher than my average monthly usage for this time of the year and,"I believe there's a billing error on my last utility statement, as the meter reading listed seems significantly higher than my average monthly usage for this time of the year, and—"
59,58fff51b-267b-de9a-9d5b-0a14173a80f8,xai-grok-stt,Mexican food,Mexican food.
60,sim-insurance-claim-p02-t06-rooms_affected,google-chirp3,"Um, twenty five rooms were affected. It was a big fire.",25 rooms were affected. It was a big fire.
61,356d3518-21f9-a281-9ed9-fa950f81d8fc,apple-speech-stt,private league and then they played for their high school,A private league and then they played for their high school
62,c4a76708-72f3-3167-29ea-b8d80190039f,xai-grok-stt,I'm trying to connect my new wireless keyboard to my tablet via Bluetooth but the tablet isn't discovering the device even though the keyboard is in pairing mode and,"I'm trying to connect my new wireless keyboard to my tablet via Bluetooth. But the tablet isn't discovering the device, even though the keyboard is in pairing mode. And I'm trying to connect my new wireless keyboard to my tablet via Bluetooth, but the tablet isn't discovering the device, even though the keyboard is in pairing mode."
63,aa390aa9-bc21-52a3-fda8-a80ea25bc4fa,xai-grok-stt,I need to clear the ARP cache,I need to clear the ARP cache.
64,sim-clinic-intake-p02-t05-copay_amount,assemblyai-universal35pro,"Um, let me see, I think it's, uh, one hundred eighty thousand dollars.","Um, let me see, I think it's, uh, $180,000."
65,trailsil-16a94355-1197-cc13-2aaa-0c90a4273381,speechmatics-enhanced,Could you compare the key features pricing and storage capacities of the top three cloud storage providers and highlight which one offers the best security protocols for sensitive personal documents,"Could you compare the key features, pricing and storage capacities of the top three cloud storage providers and highlight which one offers the best security protocols for sensitive personal documents?"
66,sim-clinic-intake-p07-t06-symptom_duration,deepgram-nova3,"Um, I think it's been about five days now. Yeah, five days.",I think it's been about five days now. Yeah. Five days.
67,lowsnr-8b8005cb-5012-fe0a-02af-3b8c7598f86a,speechmatics-standard,What was the Boston Tea Party?,What was the Boston Tea Party?
68,4c5c2147-ef50-6aab-f543-6cc57b92b1a0,cartesia-ink2,How do I temper chocolate,How do I temper chocolate?
69,2427d82b-728c-8ba3-a9c3-1c0d83c09b02,xai-grok-stt,The recipe for this sourdough starter says that I need to feed it every 12 hours for three days but I'm not seeing any bubbles or signs of activity yet so,"The recipe for this sourdough starter says that I need to feed it every 12 hours for 3 days, but I'm not seeing any bubbles or signs of activity yet, so. The recipe for this sourdough starter says that I need to feed it every 12 hours for 3 days, but I'm not seeing any bubbles or signs of activity yet, so"
70,lowsnr-8f81e391-7e84-eb12-9f73-fce5371eb15f,speechmatics-standard,Can you help me find a specific television series about ancient civilizations that I used to watch because I remember it featured a very tall host but I can't recall his name or,Can you help me find a specific television series about ancient civilizations that I used to watch? Because I remember it featured a very tall host that I can recall his name or.
71,snr+00-96cb7d51-a59e-a54d-6776-f94a1404457a,deepgram-nova3,You'll have peace of mind knowing Ralph is covered for both acci-,You'll have peace of mind when the route is covered for both cash
72,9c9047de-71cb-7deb-52ce-731ba494e5a5,cartesia-ink2,My spot vacuum cleaning keeps getting stuck under the same armchair where every single time it runs and I have already tried moving the chair a little bit but it still finds a way to get trapped,"My spa vacuum cleaning keeps getting stuck under the same armchair where every single time it runs and I have already tried moving the chair a little bit, but it still finds a way to get trapped."
73,sim-clinic-intake-p03-t06-symptom_duration,deepgram-nova3,"Um, I'd say it's been about sixteen days now.",I'd say it's been about sixteen days now.
74,sim-insurance-claim-p01-t03-incident_date,google-chirp3,"Um, that was, uh, this past Friday, April seventh.","Um, that was uh this past Friday, April 7th."
75,sim-job-application-p04-t06-reference_code,speechmatics-enhanced,"Uh, yeah, sure. The code is R C three five one one R.","Uh, yeah, sure. The code is C3511R."
76,tel8k-90827444-599c-0a4b-d1b6-0ca6590f8e0d,assemblyai-universal35pro,I need to make a reservation for a party of six at a restaurant that has outdoor seating for this Friday night and if and it's important that they have good vegetarian options.,"I need to make a reservation for a party of 6 at a restaurant that has outdoor seating for this Friday night, and if— and it's important that they have good vegetarian options."
77,sim-job-application-p00-t00-full_name,speechmatics-enhanced,"Yes, um, my full name is Alice Jennings.","Yes. Um, my full name is Alice Jennings."
78,aa390aa9-bc21-52a3-fda8-a80ea25bc4fa,cartesia-ink2,I need to clear the ARP cache,I need to clear the ARP cache.
79,sim-insurance-claim-p06-t02-callback_phone,deepgram-nova3,"Okay, um, it's two, eight, four, five, five, five, zero, one, six, four.",Okay. It's 2845550164.
80,sim-insurance-claim-p02-t01-policy_number,soniox-rt-v5,"Okay, um, the policy number is L F five nine three two V.","Okay, um, the policy number is LF-5932-V."
81,7f99dd00-988a-23b8-7aa2-558528b6740b,apple-speech-stt,My main smoke alarm is chirping even though I put a new brand new battery in this morning and I've tried cleaning it for any dust but it's still,My main smoke alarm is tripping even though I put a brand new battery in this morning and I tried cleaning it for any dust but it's still
82,sim-job-application-p07-t04-salary_expectation,google-chirp3,"Um, yeah, I'm looking for a salary of eighty six thousand dollars. I think that's a fair market rate for this kind of role and my experience level.","Um, yeah. I'm looking for a salary of $86,000. I think that's a fair market rate for this kind of role and my experience level."
83,93784921-0769-176f-9403-6866c4a3199e,xai-grok-stt,presentation and I didn't unders I didn't know that they,"Presentation, and I didn't under I didn't know that they."
84,trailsil-acf09a0e-1c98-ac33-a544-8dd4eb2a79d9,speechmatics-standard,How many moons does Pluto have?,How many moons does Pluto have?
85,snr+20-ad7d1832-9e93-42f6-5298-5be541fa9b0d,assemblyai-universal35pro,I was wondering if you could help me find a local reputable service that specializes in cleaning antique Persian rugs as I have an heirloom piece needing delicate professional attention and,"I was wondering if you could help me find a local reputable service that specializes in cleaning antique Persian rugs, as I have a heirloom piece needing delicate professional attention and—"
86,sim-job-application-p07-t01-phone,google-chirp3,"Um, the best number to reach me is five seven eight, five five five, zero one three eight.",The best number to reach me is 578-555-0138.
87,fc07f3fe-9734-2e6d-41c0-2b00030132da,deepgram-flux,Well I really appreciate you of thinking of,I really appreciate you of thinking of
88,lowsnr-cb019196-5aa2-654b-1134-170c40b56bb6,elevenlabs-scribe2,I bought a smart watch a few months ago primarily to track my sleep patterns but the data it's providing seems highly inaccurate when compared to how I actually feel and,"I bought a smart watch a few months ago primarily to track my sleep patterns, but the data it's providing seems highly inaccurate when compared to how I actually feel and..."
89,c4a76708-72f3-3167-29ea-b8d80190039f,apple-speech-stt,I'm trying to connect my new wireless keyboard to my tablet via Bluetooth but the tablet isn't discovering the device even though the keyboard is in pairing mode and,I'm trying to connect my new wireless keyboard to my tablet the Bluetooth but the tablet isn't discovering the device even though the keyboard is in pairing mode and
90,snr-05-90827444-599c-0a4b-d1b6-0ca6590f8e0d,soniox-rt-v5,I need to make a reservation for a party of six at a restaurant that has outdoor seating for this Friday night and if and it's important that they have good vegetarian options.,"I need to make a reservation for a party of 6 at the restaurant that has hospital seating for this Friday night, and if— and it's important that they have good vegetarian options."
91,lowsnr-4779c1cb-5ebc-ccbc-9433-3be7128ca351,speechmatics-standard,I need to find a local shoe shine service.,
92,snr+05-b7801a1c-1256-14f6-0373-dc2c2f672745,speechmatics-enhanced,Why isn't my single sign-on confirmation working for the new uh,"Why isn't my single sign on confirmation working for the new, uh."
93,sim-clinic-intake-p06-t01-contact_phone,google-chirp3,"Um, yeah, you can reach me at two four two, five five five, zero one seven zero.","Yeah, you can reach me at 242-555-0170."
94,snr+00-4946c229-7806-af10-839c-bb40cf35896d,deepgram-nova3,I'm trying to learn how to play the guitar and I was wondering if you could suggest some good beginner level tutorials or apps because,"I'm trying to learn how to play the guitar, and I was wondering if you could suggest some good beginner level materials."
95,tel8k-ccd031a0-b2a7-8693-c226-00105fbb37d2,deepgram-nova3,I'm trying to sync my contacts from my old phone to my new one but only about half of them are transferring over and the rest seem to be stuck somewhere because,"I'm trying to sync my contacts from my old phone to my new one, but only about half of them are transferring over, and the rest seem to be stuck somewhere because"
96,545d2919-6153-7187-fc95-48ff62a7276c,apple-speech-stt,"I'd like to book a round trip flight from New York to London for two adults, leaving on May 15th and returning May 29th, preferably a nonstop flight.",I like to book a round-trip flights from New York to London for two adults living on May 15 I'm returning May 29 preferably a no flight
97,830ff8f9-96f4-ee1f-f640-d0b87f18e66c,deepgram-flux,My son accidentally spilled juice on his laptop keyboard and while most of the keys are working a few of them are very sticky and unresponsive now so I,"My son accidentally spilled juice on his laptop keyboard, and while most of the keys are working, a few of them are very sticky and unresponsive now. So I"
98,b7b879c4-6579-ff70-0e01-2bb8115effa9,cartesia-ink2,"I bought a new video game yesterday, but when I tried to install it on my console, it gets to about 50% complete and then gives me a corrupted data error every single time and","I bought a new video game yesterday, but when I tried to install it on my console, it gets to about 50% complete and then gives me a corrupted data error every single time. And"
99,sim-clinic-intake-p02-t01-contact_phone,google-chirp3,"Sure, it's two three five, five five five, zero one five five.","Sure, it's 235-555-0155."
100,sim-insurance-claim-p03-t06-rooms_affected,elevenlabs-scribe2,"Uh, let's see, it looks like it was about, um, thirty rooms in all that got affected.","Uh, let's see. It looks like it was about, um, 30 rooms in all that got affected."
